"","X","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI","sexo"
"1",1,"2020.JJA","Tarapacá",20.97,46.27,54.7,15.41,136810,24919,161729,295648,133919,28692,"Ambos sexos"
"2",2,"2020.JAS","Tarapacá",22.83,47.94,54.75,12.44,142020,20171,162191,296244,134053,32429,"Ambos sexos"
"3",3,"2020.ASO","Tarapacá",27.03,50.61,55.94,9.54,150221,15836,166057,296837,130780,40609,"Ambos sexos"
"4",4,"2020.SON","Tarapacá",28.18,52.41,57.21,8.38,155881,14260,170142,297424,127282,43929,"Ambos sexos"
"5",5,"2020.OND","Tarapacá",30.05,54.33,58.99,7.89,161926,13878,175803,298014,122211,48655,"Ambos sexos"
"6",6,"2020.NDE","Tarapacá",28.38,52.7,58.8,10.37,157372,18205,175576,298611,123035,44669,"Ambos sexos"
"7",7,"2021.DEF","Tarapacá",26.75,54.02,58.5,7.65,161636,13387,175023,299205,124182,43233,"Ambos sexos"
"8",8,"2021.EFM","Tarapacá",25.66,52.58,58.53,10.17,157623,17840,175463,299794,124331,40452,"Ambos sexos"
"9",9,"2021.FMA","Tarapacá",25.79,53.81,59.62,9.74,161641,17451,179092,300395,121303,41687,"Ambos sexos"
"10",10,"2021.MAM","Tarapacá",27.35,53.47,60.02,10.92,160921,19734,180655,300975,120320,44019,"Ambos sexos"
"11",11,"2021.AMJ","Tarapacá",28.78,54.57,59.86,8.84,164568,15958,180526,301570,121044,47367,"Ambos sexos"
"12",12,"2021.MJJ","Tarapacá",29.83,54.34,59.04,7.95,164211,14187,178399,302166,123767,48985,"Ambos sexos"
"13",13,"2021.JJA","Tarapacá",31.65,56.24,60.11,6.44,170215,11715,181930,302669,120739,53879,"Ambos sexos"
"14",14,"2021.JAS","Tarapacá",30.91,55.79,59.94,6.91,169097,12561,181658,303082,121424,52274,"Ambos sexos"
"15",15,"2021.ASO","Tarapacá",32.87,56.18,60.73,7.49,170504,13805,184309,303472,119163,56037,"Ambos sexos"
"16",16,"2021.SON","Tarapacá",32.09,55.79,61.04,8.6,169550,15953,185504,303892,118388,54407,"Ambos sexos"
"17",17,"2021.OND","Tarapacá",34.09,56.61,62.13,8.88,172280,16779,189060,304302,115242,58726,"Ambos sexos"
"18",18,"2021.NDE","Tarapacá",32.14,57.02,62.61,8.92,173757,17026,190783,304735,113952,55847,"Ambos sexos"
"19",19,"2022.DEF","Tarapacá",35.77,58.16,63.51,8.42,177482,16318,193800,305145,111345,63493,"Ambos sexos"
"20",20,"2022.EFM","Tarapacá",33.74,58.05,63.53,8.63,177365,16748,194113,305549,111436,59851,"Ambos sexos"
"21",21,"2022.FMA","Tarapacá",34.81,60.6,65.96,8.12,185428,16395,201823,305973,104150,64556,"Ambos sexos"
"22",22,"2022.MAM","Tarapacá",31.47,60.19,65.65,8.32,184408,16730,201138,306382,105244,58034,"Ambos sexos"
"23",23,"2022.AMJ","Tarapacá",31.37,60.18,65.66,8.34,184643,16803,201446,306810,105364,57924,"Ambos sexos"
"24",24,"2022.MJJ","Tarapacá",31.23,59.6,65.66,9.23,183104,18625,201729,307229,105500,57185,"Ambos sexos"
"25",25,"2022.JJA","Tarapacá",32.02,60.95,67.48,9.68,187506,20091,207597,307632,100035,60040,"Ambos sexos"
"26",26,"2022.JAS","Tarapacá",33.1,61.64,68.23,9.66,189860,20292,210153,308016,97863,62841,"Ambos sexos"
"27",27,"2022.ASO","Tarapacá",35.23,63.2,68.83,8.17,194911,17347,212258,308400,96142,68667,"Ambos sexos"
"28",28,"2022.SON","Tarapacá",36,61.51,67.24,8.52,189928,17689,207617,308785,101168,68372,"Ambos sexos"
"29",29,"2022.OND","Tarapacá",37.22,61.09,66.99,8.8,188890,18215,207105,309179,102074,70307,"Ambos sexos"
"30",30,"2022.NDE","Tarapacá",35.59,60.5,66.91,9.58,187293,19843,207136,309569,102433,66657,"Ambos sexos"
"31",31,"2023.DEF","Tarapacá",34.2,60.79,67.06,9.34,188419,19419,207838,309943,102105,64431,"Ambos sexos"
